"PersonID","Name","Gender","BirthYear","DeathYear","BirthPlace","DeathPlace"
207,"Amasa","M",,,,
208,"Amasa","M",,,,
209,"Amasai","M",,,,
210,"Amasai","M",,,,
211,"Amasai","M",,,,
212,"Amasai","M",,,,
213,"Amasiah","M",,,,
214,"Amaziah","M","0825 BC","0770 BC","Jerusalem","Jerusalem"
215,"Amaziah","M",,,,
216,"Amaziah","M",,,,
217,"Amaziah","M",,,,
218,"Amon","M",,,,
219,"Amittai","M",,,,
220,"Ammiel","M",,,,
221,"Ammiel","M",,,,
222,"Ammiel","M",,,,
223,"Ammihud","M",,,,
224,"Ammihud","M",,,,
225,"Ammihud","M",,,,
226,"Ammihud","M",,,,
227,"Ammihud","M",,,,
228,"Amminadab","M",,,,
229,"Amminadab","M",,,,
230,"Ammishaddai","M",,,,
231,"Ammizabad","M",,,,
232,"Amnon","M",,,"Hebron",
233,"Amnon","M",,,,
234,"Amok","M",,,,
235,"Amon","M",,,,
236,"Amon","M","0662 BC","0640 BC","Jerusalem","Jerusalem"
237,"Amorite","M",,,,
238,"Amos","M",,,,
239,"Amos","M",,,,
240,"Amoz","M",,,,
241,"Amplias","M",,,,
242,"Amram","M",,,,"Egypt"
243,"Amram","M",,,,
244,"Amraphel","M",,,,
245,"Amzi","M",,,,
246,"Amzi","M",,,,
247,"Anah","M",,,,
248,"Anah","M",,,,
249,"Anah","M",,,,
250,"Anaiah","M",,,,
251,"Anaiah","M",,,,
252,"Anak","M",,,,
253,"Anamim","M",,,,
254,"Anammelech","M",,,,
255,"Anan","M",,,,
256,"Anani","M",,,,
257,"Ananiah","M",,,,
258,"Ananias","M",,,,
259,"Ananias","M",,,,
260,"Ananias","M",,,,
261,"Anath","M",,,,
262,"Anathoth","M",,,,
263,"Anathoth","M",,,,
264,"Andrew","M",,,,
265,"Andronicus","M",,,,
266,"Aner","M",,,,
267,"Aniam","M",,,,
268,"Anna","F",,,,
269,"Annas","M",,,,
270,"Antipas","M",,,,
271,"Antothijah","M",,,,
272,"Anub","M",,,,
273,"Apelles","M",,,,
274,"Aphiah","M",,,,
275,"Aphses","M",,,,
276,"Apollos","M",,,,
277,"Appaim","M",,,,
278,"Apphia","F",,,,
279,"Aquila","M",,,,
280,"Ara","M",,,,
281,"Arad","M",,,,
282,"Arah","M",,,,
283,"Arah","M",,,,
284,"Arah","M",,,,
285,"Aram","M",,,,
286,"Aram","M",,,,
287,"Aram","M",,,,
288,"Aran","M",,,,
289,"Ornan","M",,,,
290,"Arba","M",,,,
291,"Archelaus","M",,,,
292,"Archippus","M",,,,
293,"Ard","M",,,,
294,"Ard","M",,,,
295,"Ardon","M",,,,
296,"Areli","M",,,,
297,"Aretas","M",,,,
298,"Argob","M",,,,
299,"Aridai","M",,,,
300,"Aridatha","M",,,,
301,"Arieh","M",,,,
302,"Ariel","M",,,,
303,"Arioch","M",,,,
304,"Arioch","M",,,,
305,"Arisai","M",,,,
306,"Aristarchus","M",,,,
307,"Aristobulus'","M",,,,
308,"Arkite","M",,,,
309,"Armoni","M",,,,
310,"Arnan","M",,,,
311,"Arod","M",,,,
312,"Arphaxad","M","2283 BC","1847 BC",,
313,"Artaxerxes","M",,,,
314,"Artaxerxes","M",,,,
315,"Artemas","M",,,,
316,"Arvadite","M",,,,
317,"Arza","M",,,,
318,"Asa","M",,"0868 BC","Jerusalem","Jerusalem"
319,"Asa","M",,,,
320,"Asahel","M",,,,"Gibeon"
321,"Asahel","M",,,,
322,"Asahel","M",,,,
323,"Asahel","M",,,,
324,"Asahiah","M",,,,
325,"Asaiah","M",,,,
326,"Asaiah","M",,,,
327,"Asaiah","M",,,,
328,"Asaiah","M",,,,
329,"Asaph","M",,,,
330,"Asaph","M",,,,
331,"Asaph","M",,,,
332,"Asaph","M",,,,
333,"Asareel","M",,,,
334,"Jesharelah","M",,,,
335,"Asenath","F",,,,
336,"Ashbel","M",,,,
337,"Asher","M","Abt 1765 BC",,,
338,"Ashkenaz","M",,,,
339,"Ashpenaz","M",,,,
340,"Ashriel","M",,,,
341,"Ashtoreth","F",,,,
342,"Ashur","M",,,,
343,"Ashvath","M",,,,
344,"Asiel","M",,,,
345,"Asnah","M",,,,
346,"Asnappar","M",,,,
347,"Aspatha","M",,,,
348,"Asriel","M",,,,
349,"Asshur","M",,,,
350,"Asshurim","M",,,,
351,"Assir","M",,,,
352,"Assir","M",,,,
353,"Asyncritus","M",,,,
354,"Atarah","F",,,,
355,"Ater","M",,,,
356,"Ater","M",,,,
357,"Ater","M",,,,
358,"Athaiah","M",,,,
359,"Athaliah","F",,"0837 BC",,"Jerusalem"
360,"Athaliah","F",,,,
361,"Athaliah","F",,,,
362,"Athlai","M",,,,
363,"Attai","M",,,,
364,"Attai","M",,,,
365,"Attai","M",,,"Jerusalem",
366,"Augustus","M",,,,
367,"Azaliah","M",,,,
368,"Azaniah","M",,,,
369,"Azarael","M",,,,
370,"Azareel","M",,,,
371,"Azareel","M",,,,
372,"Azareel","M",,,,
373,"Azariah","M",,,,
374,"Azariah","M",,,,
375,"Uzziah","M","0808 BC","0742 BC","Jerusalem","Jerusalem"
376,"Azariah","M",,,,
377,"Azariah","M",,,,
378,"Azariah","M",,,,
379,"Azariah","M",,,,
380,"Azariah","M",,,,
381,"Azariah","M",,"0846 BC","Jerusalem","Jerusalem"
382,"Azariah","M",,,,
383,"Azariah","M",,,,
384,"Azariah","M",,,,
385,"Azariah","M",,,,
386,"Azariah","M",,,,
387,"Balak","M",,,,
388,"Bani","M",,,,
389,"Bani","M",,,,
390,"Bani","M",,,,
391,"Bani","M",,,,
392,"Bani","M",,,,
393,"Bani","M",,,,
394,"Bani","M",,,,
395,"Bani","M",,,,
396,"Bani","M",,,,
397,"Bani","M",,,,
398,"Bani","M",,,,
399,"Barabbas","M",,,,
400,"Barachel","M",,,,
401,"Barak","M",,,,
402,"Bariah","M",,,,
403,"Elymas","M",,,,
404,"Barkos","M",,,,
405,"Bartholomew","M",,,,
406,"Bartimaeus","M",,,,
407,"Baruch","M",,,,
408,"Baruch","M",,,,
409,"Baruch","M",,,,
410,"Baruch","M",,,,
411,"Barzillai","M",,,,
412,"Barzillai","M",,,,
413,"Barzillai","M",,,,
414,"Adah","F",,,,
415,"Basmath","F",,,,
416,"Bath-shua","M",,,,
417,"Bavai","M",,,,
418,"Bazluth","M",,,,
419,"Bealiah","M",,,,
420,"Bebai","M",,,,
421,"Bebai","M",,,,
422,"Bebai","M",,,,
423,"Becher","M",,,,
424,"Becher","M",,,,
425,"Bechorath","M",,,,
426,"Bedad","M",,,,
427,"Bedan","M",,,,
428,"Bedan","M",,,,
429,"Bedeiah","M",,,,
430,"Beera","M",,,,
431,"Beerah","M",,,,
432,"Beeri","M",,,,
433,"Beeri","M",,,,
434,"Bela","M",,,,
435,"Bela","M",,,,
436,"Bela","M",,,,
437,"Belshazzar","M",,,,
438,"Ben","M",,,,
439,"Benaiah","M",,,,
440,"Benaiah","M",,,,
441,"Benaiah","M",,,,
442,"Benaiah","M",,,,
443,"Benaiah","M",,,,
444,"Benaiah","M",,,,
445,"Benaiah","M",,,,
446,"Benaiah","M",,,,
447,"Benaiah","M",,,,
448,"Benaiah","M",,,,
449,"Benaiah","M",,,,
450,"Benaiah","M",,,,
451,"Ben-ammi","M",,,,
452,"Ben-hadad","M",,,,
453,"Ben-hadad","M",,,,
454,"Ben-hadad","M",,,,
455,"Benhail","M",,,,
456,"Ben-hanan","M",,,,
457,"Beninu","M",,,,
458,"Benjamin","M",,,,
459,"Benjamin","M",,,,
460,"Benjamin","M",,,,
461,"Benjamin","M",,,,
462,"Beno","M",,,,
463,"Benjamin","M","1734 BC",,,
464,"Ben-zoheth","M",,,,
465,"Beor","M",,,,
466,"Beor","M",,,,
467,"Bera","M",,,,
468,"Berachah","M",,,,
469,"Berechiah","M",,,,
470,"Beraiah","M",,,,
471,"Berechiah","M",,,,
472,"Berechiah","M",,,,
473,"Berechiah","M",,,,
474,"Berechiah","M",,,,
475,"Berechiah","M",,,,
476,"Bered","M",,,,
477,"Beri","M",,,,
478,"Beriah","M",,,,
479,"Beriah","M",,,,
480,"Beriah","M",,,,
481,"Beriah","M",,,,
482,"Bernice","F",,,,
483,"Merodach-baladan","M",,,,
484,"Besai","M",,,,
485,"Besodeiah","M",,,,
486,"Beth-rapha","M",,,,
487,"Bethuel","M",,,,
488,"Bezai","M",,,,
489,"Bezai","M",,,,
490,"Bezaleel","M",,,,
491,"Bezaleel","M",,,,
492,"Bezer","M",,,,
493,"Bichri","M",,,,
494,"Bigtha","M",,,,
495,"Bigthana","M",,,,
496,"Bigvai","M",,,,
497,"Bigvai","M",,,,
498,"Bigvai","M",,,,
499,"Bildad","M",,,,
